X;Y;Attack1;Attack2;Kick;DualAttack;Ability;Protect;Jump;Damage;EnemyX;EnemyY;EnemyDamage;moveCode
-1.454;-3.945924;0;0;0;0;0;0;0;0;-0.4072421;-3.807574;0;Shoot
-1.454;-3.945924;0;0;0;0;0;0;0;0;-0.4139341;-3.827521;0;Shoot
-1.454;-3.945924;0;0;0;0;0;0;0;0;-0.4206261;-3.851392;0;Shoot
-1.454;-3.945924;0;0;0;0;0;0;0;0;-0.4273181;-3.879188;0;Shoot
-1.454;-3.945924;0;0;0;0;0;0;0;0;-0.4340101;-3.910907;0;Shoot
-1.454;-3.945924;0;0;0;0;0;0;0;0;-0.4407022;-3.94655;0;Shoot
-1.454;-3.945924;0;0;0;0;0;0;0;0;-0.4536505;-3.871892;0;Shoot
-1.454;-3.945924;0;0;0;0;0;0;0;0;-0.4665988;-3.801158;0;Shoot
-1.454;-3.945924;0;0;0;0;0;0;0;0;-0.4795471;-3.734347;0;Shoot
-1.454;-3.945924;0;0;0;0;0;0;0;0;-0.4924954;-3.671461;0;Shoot
-1.454;-3.945924;0;0;0;0;0;0;0;0;-0.5054437;-3.612499;0;Shoot
-1.454;-3.945924;0;0;0;0;0;0;0;0;-0.5196892;-3.545412;0;Shoot
-1.454;-3.945924;0;0;0;0;0;0;0;0;-0.5339347;-3.48225;0;Shoot
-1.454;-3.945924;0;0;0;0;0;0;0;0;-0.5481801;-3.423012;0;Shoot
-1.454;-3.945924;0;0;0;0;0;0;0;0;-0.5624256;-3.367698;0;Shoot
-1.454;-3.945924;0;0;0;0;0;0;0;0;-0.576671;-3.316308;0;Shoot
-1.454;-3.945924;0;0;0;0;0;0;0;0;-0.5641994;-3.276142;0;Shoot
-1.454;-3.945924;0;0;0;0;0;0;0;0;-0.5517278;-3.239901;0;Shoot
-1.454;-3.945924;0;0;0;0;0;0;0;0;-0.5392562;-3.207583;0;Shoot
-1.454;-3.945924;0;0;0;0;0;0;0;0;-0.5267845;-3.17919;0;Shoot
-1.454;-3.945924;0;0;0;0;0;0;0;0;-0.514313;-3.15472;0;Shoot
-1.454;-3.945924;0;0;0;0;0;0;0;0;-0.5319608;-3.137006;0;Shoot
-1.454;-3.945924;0;0;0;0;0;0;0;0;-0.5496086;-3.123216;0;Shoot
-1.454;-3.945924;0;0;0;0;0;0;0;0;-0.5672564;-3.113351;0;Shoot
-1.454;-3.945924;0;0;0;0;0;0;0;0;-0.5849042;-3.107409;0;Shoot
-1.454;-3.945924;0;0;0;0;0;0;0;0;-0.602552;-3.105391;0;Shoot
-1.454;-3.945924;0;0;0;0;0;0;0;0;-0.6170949;-3.10646;0;Shoot
-1.454;-3.945924;0;0;0;0;0;0;0;0;-0.6316379;-3.111454;0;Shoot
-1.454;-3.945924;0;0;0;0;0;0;0;0;-0.6461808;-3.120371;0;Shoot
